tanggal,nama_pasar,komoditas,harga
2021-01-29,"Pasar Grogol","Cabe Merah Keriting",53000
2021-01-30,"Pasar Grogol","Cabe Merah Keriting",53000
2021-01-31,"Pasar Grogol","Cabe Merah Keriting",
2021-01-01,"Pasar Grogol","Cabe Merah Besar (TW)",60000
2021-01-02,"Pasar Grogol","Cabe Merah Besar (TW)",60000
2021-01-03,"Pasar Grogol","Cabe Merah Besar (TW)",60000
2021-01-04,"Pasar Grogol","Cabe Merah Besar (TW)",50000
2021-01-05,"Pasar Grogol","Cabe Merah Besar (TW)",50000
2021-01-06,"Pasar Grogol","Cabe Merah Besar (TW)",45000
2021-01-07,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-08,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-09,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-10,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-11,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-12,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-13,"Pasar Grogol","Cabe Merah Besar (TW)",35000
2021-01-14,"Pasar Grogol","Cabe Merah Besar (TW)",37000
2021-01-15,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-16,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-17,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-18,"Pasar Grogol","Cabe Merah Besar (TW)",50000
2021-01-19,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-20,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-21,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-22,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-23,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-24,"Pasar Grogol","Cabe Merah Besar (TW)",38000
2021-01-25,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-26,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-27,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-28,"Pasar Grogol","Cabe Merah Besar (TW)",40000
2021-01-29,"Pasar Grogol","Cabe Merah Besar (TW)",48000
2021-01-30,"Pasar Grogol","Cabe Merah Besar (TW)",48000
2021-01-31,"Pasar Grogol","Cabe Merah Besar (TW)",
2021-01-01,"Pasar Grogol","Cabe Rawit Merah",70000
2021-01-02,"Pasar Grogol","Cabe Rawit Merah",70000
2021-01-03,"Pasar Grogol","Cabe Rawit Merah",70000
2021-01-04,"Pasar Grogol","Cabe Rawit Merah",85000
2021-01-05,"Pasar Grogol","Cabe Rawit Merah",90000
2021-01-06,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-07,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-08,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-09,"Pasar Grogol","Cabe Rawit Merah",90000
2021-01-10,"Pasar Grogol","Cabe Rawit Merah",90000
2021-01-11,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-12,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-13,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-14,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-15,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-16,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-17,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-18,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-19,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-20,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-21,"Pasar Grogol","Cabe Rawit Merah",70000
2021-01-22,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-23,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-24,"Pasar Grogol","Cabe Rawit Merah",75000
2021-01-25,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-26,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-27,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-28,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-29,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-30,"Pasar Grogol","Cabe Rawit Merah",80000
2021-01-31,"Pasar Grogol","Cabe Rawit Merah",
2021-01-01,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-02,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-03,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-04,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-05,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-06,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-07,"Pasar Grogol","Cabe Rawit Hijau",55000
2021-01-08,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-09,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-10,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-11,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-12,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-13,"Pasar Grogol","Cabe Rawit Hijau",50000
2021-01-14,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-15,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-16,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-17,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-18,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-19,"Pasar Grogol","Cabe Rawit Hijau",65000
2021-01-20,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-21,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-22,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-23,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-24,"Pasar Grogol","Cabe Rawit Hijau",60000
2021-01-25,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-26,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-27,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-28,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-29,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-30,"Pasar Grogol","Cabe Rawit Hijau",70000
2021-01-31,"Pasar Grogol","Cabe Rawit Hijau",
2021-01-01,"Pasar Grogol","Bawang Merah",30000
2021-01-02,"Pasar Grogol","Bawang Merah",28000
2021-01-03,"Pasar Grogol","Bawang Merah",28000
2021-01-04,"Pasar Grogol","Bawang Merah",30000
2021-01-05,"Pasar Grogol","Bawang Merah",30000
